analysis,code,pseudocode
"A27 — Care-seeking calibration, discrimination and joint test","elig <- rep248[rep248$had_ili_prev == 1, ]
m3dat <- elig[!is.na(elig$comp_risk_any_nan), ]
cat(""reported a prior-season illness  :"", nrow(elig), ""\n"")
cat(""of those, answered the health-condition item (analysis sample) :"", nrow(m3dat), ""\n"")
cat(""sought care (events)             :"", sum(m3dat$sought_care), ""\n\n"")

M3_FORM <- sought_care ~ age10 + female + comp_risk_any_nan + ili_freq_ord4 + prev_vax +
                         smoker_current + allergy
fit_M3 <- glm(M3_FORM, data = m3dat, family = binomial)
print(or_table(fit_M3))
cat(""\ndiscrimination and calibration (Efron bootstrap, 1,000 replicates, seed 20260707)\n"")
print(round(efron_optimism(M3_FORM, m3dat), 5))
cat(""Hosmer-Lemeshow :\n""); print(round(hoslem(fit_M3$y, fit_M3$fitted.values), 4))

fit_M3red <- glm(sought_care ~ female + comp_risk_any_nan, data = m3dat, family = binomial)
LR3 <- fit_M3red$deviance - fit_M3$deviance
cat(sprintf(""joint test, likelihood-ratio form : chi-square = %.4f, df = 5, p = %.6f\n"",
            LR3, pchisq(LR3, 5, lower.tail = FALSE)))
b3 <- coef(fit_M3); V3 <- vcov(fit_M3)
i3 <- match(c(""age10"", ""ili_freq_ord4"", ""smoker_current"", ""allergy"", ""prev_vax""), names(b3))
W3 <- as.numeric(t(b3[i3]) %*% solve(V3[i3, i3]) %*% b3[i3])
cat(sprintf(""joint test, Wald form             : chi-square = %.4f, df = 5, p = %.6f\n"",
            W3, pchisq(W3, 5, lower.tail = FALSE)))","1. Eligibility is reporting an influenza-like illness in the prior season; the outcome is whether that illness led to a presentation at a health facility. NOTE that eligibility and outcome derive from the same question on the registration questionnaire, so the outcome logically implies eligibility: nobody can have presented for a prior-season illness they did not report having. The eligible set is therefore not an independent restriction, and the model estimates who among those reporting an illness sought care.
2. Of 201 eligible physicians, 195 answered the health-condition item and enter the model; 53 sought care.
3. Fit a binary logistic model on the pre-specified set: age in ten-year units, sex, any health condition, susceptibility in four ordered levels, prior-season vaccination, current smoking and respiratory allergy. No variable selection.
4. Report odds ratios with intervals and p-values, the apparent area under the curve, the Efron bootstrap optimism correction and corrected calibration slope, the Hosmer-Lemeshow statistic, and the joint test across age, susceptibility, smoking, allergy and prior-season vaccination in both the likelihood-ratio and Wald forms."
A28 — Primary ILI incidence model (shared gamma-frailty Andersen-Gill),"M5_RHS <- ""vax_protected + age10 + school_kids_any + ili_freq_ord4""

fit_M5 <- coxph(as.formula(paste(""Surv(tstart, tstop, event) ~"", M5_RHS,
                                 ""+ frailty(participant_id, distribution = 'gamma')"")),
                data = pw, ties = ""efron"")
print(summary(fit_M5))

hr_table <- function(fit, k = NULL) {
  b <- fit$coefficients
  if (is.null(k)) k <- length(b)
  s <- sqrt(diag(fit$var))[seq_len(k)]
  round(cbind(HR = exp(b), lower95 = exp(b - 1.96 * s), upper95 = exp(b + 1.96 * s),
              se_logHR = s, p = 2 * pnorm(-abs(b / s))), 4)
}
cat(""\nhazard ratios with Wald intervals\n"")
print(hr_table(fit_M5))
cat(sprintf(""\nfrailty variance theta = %.6f\n"", fit_M5$history[[1]]$theta))
cat(""person-weeks ="", fit_M5$n, ""  events ="", fit_M5$nevent,
    ""  physicians ="", length(unique(pw$participant_id)), ""\n"")","1. Take the FULL filed person-week panel: 4,729 counting-process intervals from 248 physicians, 497 incident episodes. The at-risk restriction is not applied here; the panel-definition contrast is a separate sensitivity block.
2. Form the recurrent-event outcome as a counting-process survival object on the total-time clock: interval start, interval stop, and an event indicator that is one in the week an episode begins.
3. Fit a shared gamma-frailty Andersen-Gill model with a per-physician frailty term, Efron handling of ties, and the pre-specified covariate set fixed on epidemiological grounds: time-varying current-season vaccination, age in ten-year units, any household school-age child, and self-reported susceptibility in four ordered levels entered as a linear score. No variable selection of any kind is performed.
4. Print the model summary, then the four hazard ratios with Wald 95 per cent intervals and p-values, and the estimated frailty variance.
5. Confirm the frailty variance and the four hazard ratios against the values of record."
A28 — Primary ILI incidence model (shared gamma-frailty Andersen-Gill),"cat(""two-week interval sensitivity: delay from the reported vaccination week to protected time\n\n"")
for (dl in 0:4) {
  vp <- as.integer(!is.na(pw$vax_week_idx) & pw$week_idx >= pw$vax_week_idx + dl)
  d <- pw; d$vp <- vp
  fa <- coxph(Surv(tstart, tstop, event_A) ~ vp + age10 + school_kids_any + ili_freq_ord4 +
              frailty(participant_id, distribution = ""gamma""), data = d, ties = ""efron"")
  fl <- coxph(Surv(tstart, tstop, event) ~ vp + age10 + school_kids_any + ili_freq_ord4 +
              frailty(participant_id, distribution = ""gamma""), data = d, ties = ""efron"")
  ba <- fa$coefficients[1]; sa <- sqrt(diag(fa$var))[1]; bl <- fl$coefficients[1]
  cat(sprintf(""delay = %d week(s)%s  exposed weeks = %4d   A-cluster HR = %.4f (%.4f-%.4f) VE = %5.1f%%   all-ILI HR = %.4f VE = %4.1f%%\n"",
      dl, ifelse(dl == 2, "" [of record]"", ""           ""), sum(vp),
      exp(ba), exp(ba - 1.96 * sa), exp(ba + 1.96 * sa), 100 * (1 - exp(ba)),
      exp(bl), 100 * (1 - exp(bl))))
}
cat(""\npanel-definition comparison\n\n"")
for (nm in c(""full filed panel (of record)"", ""at-risk person-weeks only"")) {
  d <- if (grepl(""full"", nm)) pw else pw[pw$at_risk_new_episode == 1, ]
  f <- coxph(as.formula(paste(""Surv(tstart, tstop, event) ~"", M5_RHS,
             ""+ frailty(participant_id, distribution = 'gamma')"")), data = d, ties = ""efron"")
  cat(sprintf(""%-30s person-weeks = %4d  events = %3d  theta = %.4f\n"",
      nm, nrow(d), sum(d$event), f$history[[1]]$theta))
  print(hr_table(f, 4))
  cat(""\n"")
}","1. For the interval sensitivity, rebuild the time-varying exposure indicator with the delay between the reported vaccination week and the start of protected time set to zero, one, two, three and four weeks in turn. Two weeks is the definition of record; the rest show whether the contrast depends on that choice.
2. At each delay report the number of exposed person-weeks and refit both the A-cluster and the all-ILI contrasts with the specification unchanged.
3. For the panel-definition comparison, refit the primary model on the full filed panel of 4,729 weeks (the definition of record) and then on at-risk weeks only, 4,626. The at-risk restriction removes the 103 continuation weeks, which carry no onset but do carry exposure and covariate time.
4. Print both fits and their frailty variances so the reader can see what the restriction costs."
A29 — Frailty variance interval and likelihood-ratio test,"prof_ll <- function(theta) {
  f <- coxph(as.formula(paste(""Surv(tstart, tstop, event) ~"", M5_RHS,
             ""+ frailty(participant_id, distribution = 'gamma', theta ="", theta,
             "", sparse = FALSE)"")), data = pw, ties = ""efron"")
  f$history[[1]]$c.loglik
}
theta_hat <- fit_M5$history[[1]]$theta
grid <- c(0.10, 0.15, 0.20, 0.25, 0.30, theta_hat, 0.35, 0.40, 0.45, 0.50, 0.55, 0.60, 0.70)
lls  <- sapply(grid, prof_ll)
lmax <- max(lls)
cat(""profile of the integrated log-likelihood in the frailty variance\n"")
print(round(cbind(theta = grid, loglik = lls, deviance_from_max = 2 * (lmax - lls)), 4))

drop_fn <- function(t) lmax - prof_ll(t) - qchisq(0.95, 1) / 2
lo <- uniroot(drop_fn, c(0.12, theta_hat))$root
hi <- uniroot(drop_fn, c(theta_hat, 0.90))$root
cat(sprintf(""\ntheta = %.4f, profile-likelihood 95%% interval %.4f to %.4f\n"", theta_hat, lo, hi))

fit_nofr <- coxph(as.formula(paste(""Surv(tstart, tstop, event) ~"", M5_RHS)),
                  data = pw, ties = ""efron"")
lr_overall <- 2 * diff(fit_M5$loglik) - 2 * diff(fit_nofr$loglik)
lr_direct  <- 2 * (prof_ll(theta_hat) - fit_nofr$loglik[2])
cat(sprintf(""difference of overall likelihood-ratio statistics : chi-square = %.4f\n"", lr_overall))
cat(sprintf(""integrated vs partial log-likelihood              : chi-square = %.4f\n"", lr_direct))
cat(sprintf(""one-sided boundary-corrected p (direct form)      : %.3g\n"",
            0.5 * pchisq(lr_direct, 1, lower.tail = FALSE)))","1. Refit the primary specification at a grid of fixed frailty variances, holding the variance at each grid value rather than letting it be estimated. Record the integrated (marginal) log-likelihood at each value.
2. Locate the maximum of the profile and report twice the drop from the maximum at each grid point.
3. Invert the profile at a drop of one half of the 95th percentile of the chi-square distribution on one degree of freedom to obtain the two interval bounds by root-finding.
4. Compute the likelihood-ratio statistic for the frailty term two ways, and print both, because they answer different questions: (a) the difference between the overall likelihood-ratio statistic of the frailty model and that of the frailty-free model on the same covariates, and (b) twice the difference between the integrated log-likelihood at the fitted variance and the partial log-likelihood of the frailty-free fit.
5. Report the p-value with the one-sided boundary correction appropriate to a variance tested at zero: half the nominal chi-square tail on one degree of freedom."
"A32 — Vaccine effectiveness, all-ILI and by agent cluster","ve_fit <- function(outcome, label) {
  d <- pw; d$.y <- outcome
  f <- coxph(as.formula(paste(""Surv(tstart, tstop, .y) ~"", M5_RHS,
             ""+ frailty(participant_id, distribution = 'gamma')"")), data = d, ties = ""efron"")
  b <- f$coefficients[[""vax_protected""]]; s <- sqrt(diag(f$var))[1]
  cat(sprintf(""%-24s events=%3d  HR=%.4f (%.4f-%.4f)  se(logHR)=%.4f  p=%.4f  VE=%5.1f%% (%.1f to %.1f)  theta=%.4f\n"",
      label, sum(outcome), exp(b), exp(b - 1.96 * s), exp(b + 1.96 * s), s,
      2 * pnorm(-abs(b / s)), 100 * (1 - exp(b)),
      100 * (1 - exp(b + 1.96 * s)), 100 * (1 - exp(b - 1.96 * s)), f$history[[1]]$theta))
  c(b = b, se = s)
}
cat(""time-varying vaccination contrast, shared gamma-frailty Andersen-Gill\n\n"")
r_all <- ve_fit(pw$event,   ""all-ILI (primary)"")
r_A   <- ve_fit(pw$event_A, ""A viral-systemic"")
r_B   <- ve_fit(pw$event_B, ""B viral-local (control)"")
r_C   <- ve_fit(pw$event_C, ""C cluster"")
r_D   <- ve_fit(pw$event_D, ""D cluster"")","1. Keep the M5 structure and specification unchanged; only the outcome changes. Vaccine effectiveness is one minus the hazard ratio on the time-varying protected-time indicator, expressed as a percentage, with the interval obtained by transforming the two hazard-ratio bounds.
2. Fit the same shared gamma-frailty Andersen-Gill model in turn to: all incident episodes (the pre-specified primary contrast); A-cluster episodes only, the viral-systemic influenza-like presentation (the agent-restricted secondary contrast); B-cluster episodes, the viral-local presentation, which serves as the negative control because an influenza vaccine should not act on it; and C- and D-cluster episodes for completeness.
3. For each outcome print the number of events, the hazard ratio with its interval and standard error on the log scale, the p-value, the effectiveness with its interval, and the frailty variance.
4. Read the B-cluster row as the negative control: an interval covering one is the expected result and supports the A-cluster contrast being agent-specific rather than a general artefact of who gets vaccinated."
A33 — A-versus-B cluster contrast (ratio of hazard ratios),"# estimates of record from the shared gamma-frailty models (R notebook)
HR_A, SE_LOG_HR_A = 0.5368, 0.2772
HR_B, CI_B = 1.0783, (0.8065, 1.4417)
SE_LOG_HR_B = (np.log(CI_B[1]) - np.log(CI_B[0])) / (2 * 1.959964)
log_rhr = np.log(HR_A) - np.log(HR_B)
se_rhr = np.sqrt(SE_LOG_HR_A ** 2 + SE_LOG_HR_B ** 2)
rhr = np.exp(log_rhr)
lo, hi = np.exp(log_rhr - 1.96 * se_rhr), np.exp(log_rhr + 1.96 * se_rhr)
p = 2 * stats.norm.sf(abs(log_rhr) / se_rhr)
print(f""A-cluster hazard ratio  {HR_A:.4f}  (se of log HR {SE_LOG_HR_A:.4f})"")
print(f""B-cluster hazard ratio  {HR_B:.4f}  (se of log HR {SE_LOG_HR_B:.4f})"")
print(f""ratio of hazard ratios  {rhr:.4f} ({lo:.3f}-{hi:.3f}), p = {p:.4f}"")
print(""the interval treats the two estimates as independent, which is conservative ""
      ""because they are estimated on the same physicians"")
record(""A33"", rhr=float(rhr), lo=float(lo), hi=float(hi), p=float(p))","1. The A-cluster contrast estimates vaccine effectiveness against influenza-like episodes; the B-cluster contrast is a negative control with no influenza interpretation.
2. The ratio of the two hazard ratios asks whether vaccination acts differentially on the influenza-like cluster. Its logarithm is the difference of the two log hazard ratios.
3. The two estimates come from the same physicians, so their covariance is not zero; treating them as independent gives a conservative delta-method interval, which is what is reported.
4. The two cluster-specific hazard ratios and their standard errors are the estimates of record produced by the frailty models in the R notebook and are entered here as inputs."
A33 — A-versus-B cluster contrast (ratio of hazard ratios),"d_log  <- r_A[""b""] - r_B[""b""]
se_dif <- sqrt(r_A[""se""]^2 + r_B[""se""]^2)
cat(sprintf(""ratio of hazard ratios (A vs B) = %.4f (%.4f-%.4f), p = %.4f  [delta-method se on the log scale = %.4f]\n"",
    exp(d_log), exp(d_log - 1.96 * se_dif), exp(d_log + 1.96 * se_dif),
    2 * pnorm(-abs(d_log / se_dif)), se_dif))","1. Take the two log hazard ratios for the protected-time indicator from the A-cluster and B-cluster fits, together with their standard errors.
2. Form the ratio of hazard ratios by subtracting the two log hazard ratios and exponentiating.
3. Obtain the standard error of the difference by the delta method for two independent estimates, that is the square root of the sum of the two squared standard errors, and build a Wald interval on the log scale before exponentiating.
4. Report the ratio, its interval and its p-value. A ratio below one with an interval excluding one says the vaccine association is stronger for the influenza-like cluster than for the negative-control cluster."
A34 — Exposed-event accounting for the vaccine contrast,"ct = pd.crosstab(episodes.cluster_letter, episodes.under_vax_protection,
                 margins=True, margins_name=""all"")
ct.columns = [""unexposed"", ""under vaccine protection"", ""all""][:ct.shape[1]]
print(ct.to_string())
print(""\nexposed events by outcome"")
print(f""  all-ILI    {int(episodes.under_vax_protection.sum())} of {len(episodes)}"")
for c in ""ABCD"":
    sub = episodes[episodes.cluster_letter == c]
    print(f""  cluster {c}  {int(sub.under_vax_protection.sum())} of {len(sub)}"")
record(""A34"", all_exposed=int(episodes.under_vax_protection.sum()),
       **{f""exposed_{c}"": int(episodes[episodes.cluster_letter == c].under_vax_protection.sum())
          for c in ""ABCD""})","1. For every incident episode determine whether its onset week fell under vaccine protection, that is two or more weeks after the physician's vaccination week.
2. Cross-tabulate episodes by agent cluster and exposure state.
3. Report the exposed-event count in each cluster. The A-cluster exposed count is the quantity that governs the precision of the vaccine-effectiveness estimate, so it is reported with the estimate everywhere."
A34 — Exposed-event accounting for the vaccine contrast,"cat(""events occurring in protected person-time\n"")
for (nm in c(""event"", ""event_A"", ""event_B"", ""event_C"", ""event_D"")) {
  lab <- c(event = ""all-ILI"", event_A = ""A cluster"", event_B = ""B cluster"",
           event_C = ""C cluster"", event_D = ""D cluster"")[nm]
  cat(sprintf(""  %-10s %3d of %3d exposed (%.1f%%)\n"", lab,
      sum(pw[[nm]] == 1 & pw$vax_protected == 1), sum(pw[[nm]]),
      100 * sum(pw[[nm]] == 1 & pw$vax_protected == 1) / sum(pw[[nm]])))
}","1. For each outcome definition, cross-tabulate events by the state of the time-varying exposure indicator in the week the event occurred.
2. Print, for each outcome, how many of its events fell in protected person-time and the total, since the exposed-event count — not the number of physicians and not the number of person-weeks — is what determines the precision of the vaccine contrast."
A38 — Occupational exposure model,"occ_all <- pw[pw$cohort_112_primary == 1, ]
occ_vars <- c(""pat_per_day"", ""aerosol_ord"", ""oncall_n"", ""mask"",
              ""age10"", ""school_kids_any"", ""ili_freq_ord4"")
occ <- occ_all[complete.cases(occ_all[, occ_vars]), ]
cat(""patient-facing subgroup      :"", length(unique(occ_all$participant_id)), ""physicians,"",
    nrow(occ_all), ""person-weeks,"", sum(occ_all$at_risk_new_episode), ""at risk,"",
    sum(occ_all$event), ""episodes\n"")
cat(""complete-case analysis set   :"", length(unique(occ$participant_id)), ""physicians,"",
    nrow(occ), ""person-weeks,"", sum(occ$at_risk_new_episode), ""at risk,"",
    sum(occ$event), ""episodes\n\n"")

fit_M8 <- coxph(Surv(tstart, tstop, event) ~ pat_per_day + aerosol_ord + oncall_n + mask +
                age10 + school_kids_any + ili_freq_ord4 +
                frailty(participant_id, distribution = ""gamma""), data = occ, ties = ""efron"")
print(hr_table(fit_M8, 7))
cat(sprintf(""frailty variance theta = %.6f\n"", fit_M8$history[[1]]$theta))

b8 <- fit_M8$coefficients[1:4]; V8 <- fit_M8$var[1:4, 1:4]
W8 <- as.numeric(t(b8) %*% solve(V8) %*% b8)
cat(sprintf(""\njoint test of the four occupational terms : chi-square = %.4f, df = 4, p = %.4f\n"",
            W8, pchisq(W8, 4, lower.tail = FALSE)))
cat(""\nmask use by aerosol-generating procedure share, physician level\n"")
print(table(mask = unique(occ[, c(""participant_id"", ""mask"", ""aerosol_ord"")])$mask,
            aerosol = unique(occ[, c(""participant_id"", ""mask"", ""aerosol_ord"")])$aerosol_ord))
cat(""smallest cell holds"",
    min(table(unique(occ[, c(""participant_id"",""mask"",""aerosol_ord"")])[, c(""mask"",""aerosol_ord"")])),
    ""physician(s) — no interaction term is estimable and none is fitted\n"")","1. Restrict the panel to the 112 physicians providing face-to-face patient examination with a daily patient-volume value.
2. Reduce to complete cases on the occupational and adjustment terms, which leaves 110 physicians, 1,724 at-risk person-weeks and 199 incident episodes.
3. Fit the same shared gamma-frailty Andersen-Gill structure with the four occupational main effects added to the pre-specified adjustment set: daily patient volume, aerosol-generating procedure share, monthly on-call shifts, consistent mask use, plus age in ten-year units, household school-age children and four-level susceptibility.
4. Fit MAIN EFFECTS ONLY. No interaction terms are estimable and none are fitted: tabulate mask use against aerosol-procedure share at physician level to show that one cell holds a single physician, which is why an interaction cannot be supported.
5. Report the seven hazard ratios with intervals, the frailty variance, and the joint four-degree-of-freedom Wald test across the four occupational terms."
